,, n_estimators= ,,
10, n_estimators= ,400,0.99139986,68.9287331
10, n_estimators= ,420,0.993943026,68.8050461
10, n_estimators= ,440,0.993237298,73.3496256
10, n_estimators= ,460,0.990340208,76.2704631
10, n_estimators= ,480,0.987809757,79.1647923
10, n_estimators= ,500,0.992887612,82.3170327
20, n_estimators= ,400,0.992877016,76.4896504
20, n_estimators= ,420,0.985673498,79.1740093
20, n_estimators= ,440,0.991162498,84.2817899
20, n_estimators= ,460,0.995782583,87.6525561
20, n_estimators= ,480,0.998029046,91.5849532
20, n_estimators= ,500,0.989867603,98.1425808
30, n_estimators= ,400,0.991478275,78.3251954
30, n_estimators= ,420,0.981225077,81.9025046
30, n_estimators= ,440,0.977003421,86.415108
30, n_estimators= ,460,0.98685819,89.7657626
30, n_estimators= ,480,0.992092873,91.7772469
30, n_estimators= ,500,0.985251756,101.0675286
40, n_estimators= ,400,0.967085074,85.4690216
40, n_estimators= ,420,0.975733958,88.7155101
40, n_estimators= ,440,0.96615258,92.9484564
40, n_estimators= ,460,0.978953182,98.4492177
40, n_estimators= ,480,0.987896649,101.464353
40, n_estimators= ,500,0.987493981,105.5078236
50, n_estimators= ,400,0.971048174,86.6236075
50, n_estimators= ,420,0.980139993,87.4514631
50, n_estimators= ,440,0.969778711,91.7010497
50, n_estimators= ,460,0.97588019,93.9772898
50, n_estimators= ,480,0.965686333,97.1157764
50, n_estimators= ,500,0.972978861,100.754353
60, n_estimators= ,400,0.928916391,84.0171819
60, n_estimators= ,420,0.968144727,86.3272395
60, n_estimators= ,440,0.974714572,90.9236533
60, n_estimators= ,460,0.966661213,112.4049183
60, n_estimators= ,480,0.970921016,116.0615873
60, n_estimators= ,500,0.960430456,101.7595661
70, n_estimators= ,400,0.912640128,85.9964542
70, n_estimators= ,420,0.909461171,92.6910667
70, n_estimators= ,440,0.955259352,94.2326126
70, n_estimators= ,460,0.964859804,98.7258795
70, n_estimators= ,480,0.918044356,103.1853929
70, n_estimators= ,500,0.938919511,107.2750845
80, n_estimators= ,400,0.911410932,86.4982763
80, n_estimators= ,420,0.922579669,91.1093374
80, n_estimators= ,440,0.928407758,95.3862183
80, n_estimators= ,460,0.925652661,99.480628
80, n_estimators= ,480,0.910457244,104.35442
80, n_estimators= ,500,0.932031769,108.3567426
90, n_estimators= ,400,0.928132248,87.0361145
90, n_estimators= ,420,0.916348912,91.9406625
90, n_estimators= ,440,0.924232727,96.2983088
90, n_estimators= ,460,0.919400711,100.5075912
90, n_estimators= ,480,0.883520878,104.6592038
90, n_estimators= ,500,0.920269626,109.2370651
